"","Edu2.FM","Labo.FM","Life.Exp","Edu.Exp","GNI","Mat.Mor","Ado.Birth","Parli.F"
"Saint Lucia",NA,0.822834645669291,75.1,12.6,9765,34,56.3,20.7
"China",0.816411682892907,0.816091954022989,75.8,13.1,12547,32,8.6,23.6
"Fiji",0.995348837209302,0.520833333333333,70,15.7,7493,59,42.8,14
"Mongolia",1.01426872770511,0.816738816738817,69.4,14.6,10729,68,18.7,14.9
"Thailand",0.875,0.796778190830235,74.4,13.5,13323,26,41,6.1
"Dominica",1.2801724137931,NA,77.8,12.7,9994,NA,NA,21.9
"Libya",1.32458233890215,0.392670157068063,71.6,14,14911,15,2.5,16
"Tunisia",0.711496746203904,0.354019746121298,74.8,14.6,10404,46,4.6,31.3
"Colombia",1.02338129496403,0.700125470514429,74,13.5,12040,83,68.5,20.9
"Saint Vincent and the Grenadines",NA,0.714102564102564,72.9,13.4,9937,45,54.5,13
"Jamaica",1.05413105413105,0.791255289139633,75.7,12.4,7415,80,70.1,16.7
"Tonga",0.990939977349943,0.7171581769437,72.8,14.7,5069,120,18.1,0
"Belize",1.00791556728232,0.597812879708384,70,13.6,7614,45,71.4,13.3
"Dominican Republic",1.04708097928437,0.652671755725191,73.5,13.1,11883,100,99.6,19.1
"Suriname",0.94692144373673,0.588662790697674,71.1,12.7,15617,130,35.2,11.8
"Maldives",0.834862385321101,0.725161290322581,76.8,13,12328,31,4.2,5.9
"Samoa",1.07166666666667,0.402397260273973,73.4,12.9,5327,58,28.3,6.1
"Botswana",0.944801026957638,0.881127450980392,64.5,12.5,16646,170,44.2,9.5
"Moldova (Republic of)",0.968944099378882,0.850678733031674,71.6,11.9,5223,21,29.3,20.8
"Egypt",0.724422442244224,0.316844919786096,71.1,13.5,10512,45,43,2.2
"Turkmenistan",NA,0.609882964889467,65.6,10.8,13066,61,18,25.8
"Gabon",1.49307479224377,0.859327217125382,64.4,12.5,16367,240,103,16.2
"Indonesia",0.810975609756098,0.610451306413302,68.9,13,9788,190,48.3,17.1
"Paraguay",0.855813953488372,0.65683962264151,72.9,11.9,7643,110,67,16.8
"Palestine, State of",0.907407407407407,0.231927710843373,72.9,13,4699,NA,45.8,NA
"Uzbekistan",NA,0.636243386243386,68.4,11.5,5567,36,38.8,16.4
"Philippines",1.03453689167975,0.641154328732748,68.2,11.3,7915,120,46.8,27.1
"El Salvador",0.844036697247706,0.605063291139241,73,12.3,7349,69,76,27.4
"South Africa",0.957839262187088,0.735537190082645,57.4,13.6,12122,140,50.9,40.7
"Viet Nam",0.834269662921348,0.888077858880779,75.8,11.9,5092,49,29,24.3
"Bolivia (Plurinational State of)",0.805414551607445,0.793572311495674,68.3,13.2,5760,200,71.9,51.8
"Kyrgyzstan",0.976239669421488,0.70440251572327,70.6,12.5,3044,75,29.3,23.3
"Iraq",0.553784860557769,0.213467048710602,69.4,10.1,14003,67,68.7,26.5
"Cabo Verde",NA,0.615292712066906,73.3,13.5,6094,53,70.6,20.8
"Micronesia (Federated States of)",NA,NA,69.1,11.7,3432,96,18.6,0
"Guyana",1.26150627615063,0.529192546583851,66.4,10.3,6522,250,88.5,31.3
"Nicaragua",1.02872062663185,0.590286425902864,74.9,11.5,4457,100,100.8,39.1
"Morocco",0.685430463576159,0.349604221635884,74,11.6,6850,120,35.8,11
"Namibia",0.968023255813953,0.858712715855573,64.8,11.3,9418,130,54.9,37.7
"Guatemala",0.943965517241379,0.558956916099773,71.8,10.7,6929,140,97.2,13.3
"Tajikistan",1.04276315789474,0.763942931258106,69.4,11.2,2517,44,42.8,15.2
"India",0.477031802120141,0.337922403003755,68,11.7,5497,190,32.8,12.2
"Honduras",1.08527131782946,0.516284680337756,73.1,11.1,3938,120,84,25.8
"Bhutan",0.985507246376812,0.863989637305699,69.5,12.6,7176,120,40.9,8.3
"Timor-Leste",NA,0.484251968503937,68.2,11.7,5363,270,52.2,38.5
"Syrian Arab Republic",0.728395061728395,0.185694635488308,69.6,12.3,2728,49,41.6,12.4
"Vanuatu",NA,0.76875,71.9,10.6,2803,86,44.8,0
"Congo",0.84468085106383,0.938356164383562,62.3,11.1,6012,410,126.7,11.5
"Kiribati",NA,NA,66,12.3,2434,130,16.6,8.7
"Equatorial Guinea",NA,0.87527114967462,57.6,9,21056,290,112.6,19.7
"Zambia",0.586363636363636,0.853971962616822,60.1,13.5,3734,280,125.4,12.7
"Ghana",0.698608964451314,0.942577030812325,61.4,11.5,3852,380,58.4,10.9
"Lao People's Democratic Republic",0.618918918918919,0.964601769911504,66.2,10.6,4680,NA,65,25
"Bangladesh",0.825665859564165,0.682520808561237,71.6,10,3191,170,80.6,20
"Cambodia",0.432314410480349,0.910982658959538,68.4,10.9,2949,170,44.3,19
"Sao Tome and Principe",NA,0.582262210796915,66.5,11.3,2918,210,65.1,18.2
"Kenya",0.805732484076433,0.859116022099447,61.6,11,2762,400,93.6,20.8
"Nepal",0.463350785340314,0.917336394948335,69.6,12.4,2311,190,73.7,29.5
"Pakistan",0.418655097613883,0.296743063932449,66.2,7.8,4866,170,27.3,19.7
"Myanmar",1.49673202614379,0.913730255164034,65.9,8.6,4608,200,12.1,4.7
"Angola",NA,0.823146944083225,52.3,11.4,6822,460,170.2,36.8
"Swaziland",0.842307692307692,0.613128491620112,49,11.3,5542,310,72,14.7
"Tanzania (United Republic of)",0.589473684210526,0.976718403547672,65,9.2,2411,410,122.7,36
"Nigeria",NA,0.756671899529042,52.8,9,5341,560,119.6,6.6
"Cameroon",0.610315186246418,0.830729166666667,55.5,10.4,2803,590,115.8,27.1
"Madagascar",NA,0.956906077348066,65.1,10.3,1328,440,122.8,20.5
"Zimbabwe",0.785483870967742,0.927536231884058,57.5,10.9,1615,470,60.3,35.1
